text,label
anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah anti korupsi untuk memutus mata rantai korupsi,0
sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap tidak sopan karena dianggap kurang menghormati orang tua giliran sekarang gibran yang tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda,0
anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu,0
duh jangan sampai pak lurah denger nih di acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjar mahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng,0
anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya,0
abah itu bapa kami bapa yang berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden,0
bawaslu dimaki jancuk sama warga gara mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses,0
capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif,0
kenyataan yang timbul menghancurkan pribadi yang isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih dukungantulus untuk,0
mas ganjar bawa data dan ngasih pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar gak ada urusan sama waktu yang singkat,0
wait wait pak ada bukti pak anies gunakan politik identitas bukankah justru ahok yang terang terangan bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu emang sulit pak,0
siti atikoh mengunjungi kantor tpd ganjar mahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjar mahfud di hari tuna rungu nasional atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat,0
